State,Fellow,Project Summary,Administering Organisation,Total Project Funding,Project Duration in years
South Australia,Dr Melanie Baak,"Schools are key sites to counter marginalisation and enable belonging. This study will investigate how Black African diaspora youth experience belonging in Australian schools and ways that schools can change practices to enhance belonging. The project will generate new knowledge of belonging and its importance for schooling using innovatory Participatory Action Research with African youth and teachers. Expected outcomes are directions for education policy and practices, development of professional resources for working with diasporic students and capacitating young African people as researchers. Anticipated benefits are improved school engagement, retention and outcomes for African diaspora youth and insights for other marginalised youth.",University of South Australia,"$464,162 ",3
South Australia,Dr Daniel Brown,This project aims to build upon Australia’s already pioneering research into the workings of the universe by addressing challenges facing future gravitational wave detectors. It will develop and utilise advanced new numerical models to generate new knowledge on large-scale precision interferometry and contribute towards the design of future detectors that are essential for gravitational wave astronomy to thrive. Expected outcomes are new optimised designs for detectors and an array of innovative new open-source numerical models for exploring new designs of quantum optics experiments. This will benefit both Australian and international research teams in the global effort to realise the third generation of gravitational wave detectors.,The University of Adelaide,"$368,818 ",3
South Australia,Dr Amanda Choo,"This project aims to address the need for a Queensland fruit fly male-only sterile release strain for the national Sterile Insect Technique program to control this devastating Australian horticulture pest. By combining two molecular technologies in a new strain that responds to temperature cues to trigger development of only male flies, this project expects to produce twice as many sterile males for release to mate with wild females in fruit fly outbreak areas, preventing production of the next generation. Expected outcomes include significant reduction in production costs and increased efficiency of the national sterile release program, facilitating control of this damaging pest to protect Australia's billion dollar horticultural industry.",The University of Adelaide,"$423,659 ",3
South Australia,Dr Dorothea Dumuid,"At every stage of life, how we use our time is one of the greatest determinants of our happiness, productivity, social wellbeing and quality of life. Time-use habits, for better or worse, are entrenched in daily routines that are difficult to break. This project aims to use existing population datasets to identify when during their life people are most likely to change their time-use habits, and to describe who may be at greatest risk of making unfavourable changes (e.g., replacing physical activity with sedentary time, not getting enough sleep). Expected outcomes include new analytical methods to understand time-use routines and new knowledge to inform future time-use improvement strategies to enable Australians to live their best life.",University of South Australia,"$443,154 ",3
South Australia,Dr Junnan Hao,"Aqueous Zn-ion batteries (ZIBs) are much safer and cheaper than current Li-ion batteries due to the water-based electrolyte and abundant Zn reserves. However, the state-of-the-art ZIB technique faces huge challenges for practical applications due to the low cathode capacity and poor Zn anode reversibility. This project aims to design novel cathodes with a new-type mechanism and highly reversible Zn anodes. Accordingly, on-demand large-size ZIBs and flexible devices under industrial parameters will also be developed. The success of this project will place Australia at the forefront of implementing safe and low-cost batteries in largescale smart grid systems, household markets, and wearable medical devices.",The University of Adelaide,"$456,318 ",3
South Australia,Dr Yun Liu,"This project aims to develop new platform technologies for making bio-inspired nanomaterials with tunable drug loading and controlled release. This project will revolutionise current approaches to make lipid nanoparticles camouflaged with natural cell membranes for delivery of both insoluble and soluble drugs. Significant outcomes will include a novel commercially relevant salt-induced nanoprecipitation platform technology for making precisely engineered nanomaterials with tailored functions for applications in controlled release and targeted delivery. Benefits include securing a sustainable future for Australia, with new nanotechnology strategies for advanced manufacturing.",The University of Adelaide,"$444,318 ",3
South Australia,Dr Andrew Merdith,"This project aims to establish the state and nature of the physical Earth systems (climate, topography, geography, erosion, carbon cycle, oxygen cycle) during the Neoproterozoic Era that made our planet habitable to complex life. By analysing these systems together, fundamental drivers and contributions to making a habitable planet will be untangled. Expected outcomes include the first ever series of climate models of this time period, as well a series of digital reconstructions of the physical systems themselves. Sedimentary hosted ore deposits, such as copper and cobalt, are formed partly as a function of erosion and climate, allowing us to provide a mechanistic driver to their formation, and consequently exploration.",The University of Adelaide,"$357,299 ",3
South Australia,Dr George Opie,"This project aims to identify changes in brain function that contribute to age-related reductions in movement control. By implementing a novel, multimodal approach involving cutting edge non-invasive brain stimulation, this project expects to identify the causal role of brain oscillations in the ability of older adults to learn new motor skills. Expected outcomes include a critical understanding of the basic neural mechanisms that contribute to altered motor function during healthy ageing. These outcomes will provide significant benefits, including important neurophysiological insight that is required to develop targeted interventions aimed at improving movement in older adults.",The University of Adelaide,"$435,298 ",3
South Australia,Dr Wenhao Ren,"This project aims to develop cooperative single-atom catalysts for efficient and selective electrocatalytic CO2 conversion and Zn-CO2 batteries. Cooperative catalysts at the single atom limit can potentially achieve enhanced electrochemical properties beyond state-of-the-art and will trigger significant theoretical and technological interests in energy conversion and storage fields. It is expected to generate new knowledge in materials science and electrochemistry, using interdisciplinary approaches of atom-precise material engineering, in situ characterisation and full-cell optimisation. Significant economic and environmental benefits are expected from developing carbon-neutral CO2 electrolysers with low cost and high energy efficiency.",The University of Adelaide,"$394,318 ",3
South Australia,Dr Pengtang Wang,"This project aims to develop a series of structure-tailored, activity-enhanced and selectivity-oriented heterogeneous molecular catalysts for efficiently converting carbon dioxide (CO2) into value-added fuels and chemicals. Innovations are expected in the rational design and engineering of materials, new mechanistic findings from computation and in-situ characterisation, and breakthroughs in CO2 conversion. Expected outcomes include new synthesis methods, innovative multi-structural engineering strategies, thorough reaction mechanism understanding, and high-performance commercially-relevant CO2 reduction electrolysis. Benefits include a sustainable future for Australia with decreased CO2 emissions and increased green-fuel production.",The University of Adelaide,"$431,318 ",3
South Australia,Dr Chao Ye,"Potassium-sulfur (K-S) batteries are recognised as a promising energy storage technology for large-scale applications, due to their high theoretical capacity, low toxicity and the low cost of both potassium and sulfur. However, their grid-scale development is plagued by safety hazards and fast capacity fade. This project aims to address these challenges by developing atomic-level engineering of host materials for sulfur, K metal anode and solid electrolyte. The outcomes of this project will provide increased understanding of the mechanism for K-S batteries and novel strategies for their development, placing Australia at the forefront of K-S batteries for scalable battery research and supporting our cutting-edge energy storage technology.",The University of Adelaide,"$420,818 ",3
Tasmania,Dr Lauren Roman,"The aim is to develop a novel epigenetic technique for the demographic assessment of long-lived seabirds, including albatrosses and petrels, for application to the conservation of 11 threatened species breeding across Australia. A major innovation will be an affordable and fieldwork-friendly technique to demographically fingerprint any population, ending the large amount of guesswork currently necessary in management. The outcome is expected to enable (i) scientists and wildlife managers to impute the impact of threats and management activities on seabird populations, allowing quantitative scenario modelling, and (ii) stakeholders to analyse numerous threats and optimise management responses to these through research-based decision-making.",University of Tasmania,"$426,216 ",3
Victoria,Dr Joel Anderson,"This project aims to conduct the first nation-wide investigation of internalised sexual prejudice – a key factor driving the health and well-being disparities experienced by same-sex attracted Australians. The project expects to generate new knowledge around the internalisation of past experiences of sexual prejudice. Expected outcomes include advanced measurement techniques of conscious and non-conscious prejudice, significant advances in understandings of the causes and consequences of internalised sexual prejudice, and an enhanced capacity for international collaborations. This should provide significant benefits for same-sex attracted Australians, and for the health, government, and community support sectors working with them.",La Trobe University,"$416,995 ",3
Victoria,Dr Aurina Arnatkeviciute,"The brain is a complex biological system that gives rise to our consciousness, thoughts, and experiences, yet we still do not know how this complexity emerges. This project aims to comprehensively investigate the genetics of brain connectivity combining cutting-edge techniques in neuroimaging, genomics, mathematical modelling, and cognitive neuroscience, focusing specifically on the connectivity of functionally important brain network hubs. The outcomes will provide a mechanistic understanding of the genetic origins of brain network formation and an explanation for how genetic influences on brain organisation shape human behaviour advancing the fundamental knowledge about the complexity of the brain.",Monash University,"$453,868 ",3
Victoria,Dr Sonja Arndt,"This project aims to raise early childhood teachers' cultural wellbeing and belonging, by strengthening anti-racist orientations and inclusion in their teaching teams. This project expects to generate new knowledge in this under-researched area, by using innovative, interdisciplinary approaches involving early childhood teachers in Brisbane, Sydney, Melbourne, and Auckland in sharing their culture stories in multimodal ways. Expected outcomes of the project include a guiding framework to enhance intercultural practices in early childhood settings, enhanced international collaborations, and significant benefits to the educational outcomes, cultural understandings and social wellbeing of Australia’s very young children.",The University of Melbourne,"$390,000 ",3
Victoria,Dr Katie Auchettl,"This project aims to understand the unexplored population of non-active or quiescent supermassive black holes (SMBHs) using tidal disruption events - the multi-wavelength outburst resulting from a star being ripped apart by the tidal forces of the SMBH. This project will increase our understanding of the transient and accretion properties of SMBHs in a broad range of galaxies, while the expected outcomes include novel techniques for distinguishing different types of extreme SMBH emission and characterisation of the environments where these extreme transient events occur. These outcomes will facilitate the identification of transient SMBH events and enhance the scientific return of the next generation of international optical surveys.",The University of Melbourne,"$433,219 ",3
Victoria,Dr Sean Bay,"The aim of this project is to unveil the microbial biodiversity, novel metabolic capabilities and chemosynthetic primary production of subsurface ecosystems, such as those found in caves. Leveraging a powerful blend of geospatial, molecular and biogeochemical approaches this project expects to identify the microbial basis of subsurface biogeochemical processes driving the earth’s major elementary cycles. Expected outcomes include a predictive framework to assess and upscale the impact of these microbial communities on the environment. Benefits include predicting and responding to climate risks, such as the desertification of agricultural soils, by uncovering how microorganisms respond to nutrient and carbon depletion.",Monash University,"$418,893 ",3
Victoria,Dr Marcus Baynes-Rock,"This research aims to produce knowledge of the ways in which humans and animals co-construct landscapes via the medium of cultural burning. It will be the first multispecies ethnography of people and animals on Native Title land engaged in landscape modification based on the use of cultural fire. Taking its lead from Indigenous partners this research will develop narratives of how humans, and animals co-construct landscapes via the medium of fire within wider socio-ecological frameworks. These narratives will inform policy and practice with regard to forest management, protection of species, conservation management, bushfire mitigation, promotion of biodiversity, and Indigenous health.",Deakin University,"$420,000 ",3
Victoria,Dr Annisa Beta,"Employing youth participatory action research in Indonesia, this project investigates the digital tools, resources, and strategies used by female youth to advocate for social change. The existing strategies used by development organisations rely on traditional, top-down advocacy approaches, overlooking the innovative ways girls and young women in developing countries use digital technologies to teach one another about gender-based violence and empowerment. Expected outcomes include youth-centred digital strategies and publicly accessible resources. The project's findings will be used to improve the design of gender empowerment programs that can be scaled up to enhance the Australian government’s aid distribution.",The University of Melbourne,"$432,854 ",3
Victoria,Dr Andreas Boes,"This project aims to create a photonic chip technology that generates hundreds of coherent laser lines in the visible spectrum from a single chip for accurate sensing, imaging unknown objects and measuring gas emissions. The project expects to introduce this new capability in the current photonic chip technology, which currently only operates with infrared light. The expected outcomes are inexpensive, stable and energy-efficient devices the size of a fingernail that will enable measurements with unprecedented accuracies. This should allow these devices to be mounted on drones, satellites, and robots, making them attractive for defence, information security, imaging, autonomous vehicle, and sensing applications.",RMIT University,"$456,354 ",3
Victoria,Dr Renata Borovica-Gajic,"This project aims to develop a next-generation database platform for seamless data exploration, where users can interactively search for insights buried in the data, without a clear outcome in mind. Unlike today's database management systems, this platform does not require costly experts to tune the database for fast responses, and guides users towards finding insights. Using the latest advancements in machine learning to facilitate data exploration and reduce the time and effort to discover insights, this open-source database platform should provide significant benefits to Australian businesses and boost scientific discovery, increasing Australia’s competitiveness in the global data-driven market.",The University of Melbourne,"$428,000 ",3
Victoria,Dr David Broadway,"This project aims to use innovative quantum sensing technologies to investigate the novel emerging field of two-dimensional magnetism; imaging both static and dynamic forms of 2D magnetism. This project expects to generate new knowledge about magnetic van der Waals materials and their potential application to ultra-thin electronic and spintronic devices. Expected outcomes of this project are a deeper understanding of the formation and modulation of magnetic order in 2D, new fabrication methods for deliberate domain wall formation, production of near-zero energy gap spin-waves, and new encapsulation methods for ultra-stable 2D materials. This should provide significant benefits towards fundamental physics and future device engineering.",RMIT University,"$458,318 ",3
Victoria,Dr Ashleigh Butler,"This project aims to explore the inclusion experience of siblings during a significant family crisis – a child’s critical illness. Exclusion from a family crisis can have lasting impacts, however sibling experiences of inclusion when a child is critically ill remain unstudied. Through observation and interviews with children and their families, this project expects to generate new knowledge about sibling inclusion in this family crisis. Expected outcomes include guidelines to enhance sibling inclusion and a resource to support family togetherness. This project should provide significant social benefits, such as changes to local and national sibling and family policies, and improved family wellbeing for all Australian families in crisis.",La Trobe University,"$375,000 ",3
Victoria,Dr Earvin Cabalquinto,"This project aims to investigate the experiences of ageing migrants in accessing and using digital communication technologies in their personal home settings. Taking the case of elderly Filipino-Australians, and deploying multi-sited ethnography and visual methods, this project expects to generate new knowledge on the consequences of digital divide on their personal and social wellbeing. Expected outcomes include culturally appropriate recommendations and resource materials to determine and reduce communication barriers for ageing migrants, migrant communities, policy makers, and relevant stakeholders. This should provide significant benefits in enhancing ageing migrants’ connective capacities to navigate a secure digital landscape.",Deakin University,"$408,106 ",3
Victoria,Dr Qiran Cai,"This project aims to investigate the thermal transport mechanism of strained two-dimensional materials for self-cooling thermal management. It expects to generate new knowledge about their unique thermal properties, guiding the use of waste heat generated in electronics for self-cooling. Expected outcomes include a novel energy-effective thermal management strategy and enhanced capacity to engineer thermal transport in two-dimensional materials that will be deployed in miniaturised and high-density electronics to overcome overheating problems. This will provide significant benefits to the economy and the environment, such as reduced cost, energy consumption and CO2 emissions in thermal management technologies.",Deakin University,"$459,592 ",3
Victoria,Dr Leon Chan,"This project aims to uncover the relationship between roughness topography and drag by utilising high-performance and efficient hardware acceleration. This project expects to generate new knowledge in the area of rough-wall turbulent boundary layer by using state-of-the-art hardware accelerated high fidelity simulations and machine learning techniques to identify important roughness parameters. Expected outcomes of this project include the development of a novel, more accurate, and robust model to predict drag. This would lead to improved data-driven policies for more sustainable and profitable airline and maritime industries.",The University of Melbourne,"$426,154 ",3
Victoria,Dr Taissa Danilovich,"Almost everything around us is made up of elements that were created inside stars. This project aims to understand the origin of the elements by studying newly created material ejected by Sun-like stars during one of the final stages of their lives. This project expects to generate new knowledge in the field of stellar evolution by using state-of-the-art telescopes to measure the elements and isotopes produced by these stars and comparing them with theoretical model predictions. Expected outcomes include a better understanding of element creation, the chemical enrichment of galaxies, and the first mass estimates for intermediate-mass stars. This should provide significant benefits by addressing a key outstanding question in astronomy.",Monash University,"$377,429 ",3
Victoria,Dr Kate Dooley,"National pledges to tackle climate change rely heavily on land to sequester and store carbon. How competing ideas about land use are negotiated and institutionalised in the climate regime is critical to effective, just and legitimate climate responses. This project aims to explain the political economy of the science and policy of land-based climate mitigation, generating new knowledge on who promotes carbon sinks and why. The expected project outcomes include guidelines to advance more just and sustainable land use through improved carbon accounting practices, using an innovative approach that combines stakeholder interviews, discourse analysis, and expert elicitation. These outcomes will notably benefit rural communities and farmers.",The University of Melbourne,"$429,744 ",3
Victoria,Dr Brendan Dyett,"This project aims to determine how nanoscale objects which mimic the surface of cells behave in biologically relevant environments. This project expects to generate new knowledge in physical chemistry by complementing innovative surface chemistry design and characterisation with data science approaches. The expected outcome of this project is identification of the mode of interaction of these biomimetic objects with cells, which may then reveal a new pathway for the delivery of pharmaceuticals. This could provide significant future benefits in the treatment of neurological diseases and bacterial infections, by overcoming the barrier that the cell surface presents to the uptake of many medicinal drugs.",RMIT University,"$438,026 ",3
Victoria,Dr Maximilien Evrard,"Tissue-resident memory T cells (TRM) are key for immune protection against infection and cancer at barrier sites including the gut. Whilst much of our understanding of gut TRM comes from studies on the small intestine, how these cells develop and function in the large intestine is unknown. Using state-of-the-art techniques and novel animal models, this project aims to (i) identify molecular pathways by which the local intestinal microenvironment influences TRM development and (ii) how these pathways could modulate TRM generation specifically in the small or large intestine. The expected outcomes are to generate fundamental new knowledge that will have significance for regulation of the immune response.",The University of Melbourne,"$471,754 ",3
Victoria,Dr Nicholas Ferns,This project aims to provide the first detailed history of the relationship between Australia and the World Bank. Engagement with international organisations is a central feature of Australian foreign relations. The project expects to provide new knowledge on the connections between development and decolonisation that dictated post-war global politics. Expected outcomes of this project include an enhanced understanding of the international significance of Australia’s post-war development and the complex process of Papua New Guinea’s decolonisation. This should provide benefits to Australia and the field through a better understanding of how to navigate an increasingly complex international political and economic environment.,Monash University,"$436,759 ",3
Victoria,Dr Lea Frermann,"This project aims to develop tools to detect biased narratives and one-sided framing in news stories using novel natural language processing methods to understand the text more deeply. Unlike existing methods, which overly rely on surface word co-occurrences patterns, the novel methods will be able to capture narratives in a more holistic and intuitive manner. Expected outcomes include new modeling techniques grounded in theory and a tool to highlight biases with recommendations for diverse sets of news articles. By raising awareness to biased news reporting, the project will benefit Australians through more balanced public discourse on global challenges, such as climate change and health pandemics.",The University of Melbourne,"$430,504 ",3
Victoria,Dr Victoria Garside,Malformations in the developing heart can lead to catastrophic defects and embryonic loss. The valves play a critical role in blood flow regulation and are made of a stratified matrix that is laid down early in development. This project aims to determine how the cellular fate of the early valve cells establish the layered matrix and in turn how the matrix can influence cell fate by utilising a multi-omics approach to identify unique cell populations and integrate transcriptional and protein changes during matrix disruption. This project expects to generate fundamental knowledge on how matrix structure can influence cell fate in the valves and will advance Australia's knowledge base and research capabilities in developmental biology.,The University of Melbourne,"$461,154 ",3
Victoria,Dr Chamila Gunasekara,"This project aims to investigate a novel solution incorporating upcycled textile waste to reduce shrinkage induced cracking in reinforced concrete. The project is expected to generate new knowledge in crack nucleation and healing mechanisms in concrete and the application of flexible textile fibre reinforcement to control shrinkage induced cracking, creating a new fibre reinforced composite. The expected outcome is a reduction in construction waste through extending the life span of concrete structures and reducing textile waste, 85% of which is currently disposed in landfills. The new composite could deliver a circular solution to textile waste leading to significant social, environmental and economic benefits.",RMIT University,"$431,154 ",3
Victoria,Dr Lucas Hackl,"The project aims to utilise results from differential geometry and related areas to investigate the physics of interacting many-body quantum systems. This project expects to generate new knowledge in the area of mathematical physics with broad applications in quantum information, condensed matter physics and statistical mechanics. The key focus will lie on the development of variational methods for the efficient simulation of quantum evolution and the characterisation of suitable quantum state families by their correlation structures.",The University of Melbourne,"$425,100 ",3
Victoria,Dr Meiling Han,"This project aims to elucidate the fundamental mechanism of lipid remodelling in Gram-negative outer membrane, which is critical both in preventing noxious compounds and evading host immune defence. For the first time, the complex interplays between bacterial cellular metabolism and membrane remodelling will be defined through systems pharmacology, and the precise membrane-peptide interaction will be examined by computational and biophysical approaches. Novel knowledge will be generated to improve our understanding on how bacteria remodel their outer membrane in response to environmental stress. This will benefit the future design of much-needed antimicrobial strategies including products and technologies to target bacterial membrane.",Monash University,"$450,241 ",3
Victoria,Dr Briony Hill,"This project aims to reframe our understanding of women’s preconception lifestyle health using a novel, socioecological approach. This project expects to generate new knowledge on societal views of weight stigma for preconception women and identify policy stakeholders’ views on integrating preconception into healthy lifestyle policies. Expected outcomes of this project include a new theory- and evidence-informed conceptual model for preconception lifestyle health that transcends the current focus on personal responsibility. This should provide significant benefits, such as informing policy to drive systems changes around preconception lifestyle health with concomitant cultural benefits to Australians, leading to improved population health.",Monash University,"$426,816 ",3
Victoria,Dr Scarlett Howard,"This project aims to investigate changes to native bee cognition, morphology, and pollination capability in response to climatic warming. Using emerging experimental methods for behavioural testing and state-of-the-art 3D modelling of museum specimens, the project expects to identify which species are likely to experience change under future climate scenarios. This project expects to determine if increased temperatures cause pollination deficits through impaired bee cognition and changed morphology. The knowledge gained in this project will allow us to identify vulnerable species and develop strategies across agriculture, government, and community sectors to support pollination and inform conservation priorities.",Monash University,"$423,206 ",3
Victoria,Dr Yi Ju,"This project aims to improve the biological applications of nanomaterials by understanding their fundamental interactions with proteins and cells in relevant biological environments. This will create new knowledge on how humoral (antibody-mediated) immunity affects nanomaterials using cutting-edge immunoassays, bio–nano characterisation techniques, and bioinformatics. Expected outcomes of the project include an understanding of how specific antibodies modulate the protein coatings on nanomaterials, which will shed light on how immune cells interact with nanomaterials. This will lead to design principles for nanomaterial properties to improve their effectiveness in delivering drugs and gene therapies.",RMIT University,"$450,154 ",3
Victoria,Associate Professor Shiri Krebs,"This project aims to improve the legal regulation of predictive technologies for preventive counterterrorism measures. The project expects to generate new knowledge in counterterrorism law and policy using doctrinal, comparative, and empirical methods. In particular, the project collects data on the United Nations Security Council’s resolutions mandating collection, sharing, and use of predictive technologies to strengthen global counterterrorism, and examines how these resolutions influence security and human rights in Australia and its security partners. Expected outcomes include recommendations for improving the laws governing the use of predictive technologies and strengthening security, individuals’ human rights, and the rule of law.",Deakin University,"$446,593 ",3
Victoria,Dr Rachael Lappan,"This project aims to resolve the nature and basis of microbial life in the atmosphere, the largest but most unexplored potential ecosystem on Earth. The atmosphere plays a role in transporting microbes, but our understanding of resident atmospheric microbial communities and their role in global atmospheric processes is minimal. Using cutting-edge molecular and biogeochemical approaches, this project aims to identify true microbial residents of the atmosphere, understand their mechanisms for survival in this environment and explore their role in seeding newly formed environments. The anticipated outcomes include fundamental knowledge on atmospheric microbial ecosystems, and their influence on global atmospheric processes.",Monash University,"$454,741 ",3
Victoria,Dr Peng Li,"This project aims to develop electrolysis of amine captured carbon dioxide (CO2) technology to integrate CO2 capture and syngas production powered by renewable electricity. The aqueous amine captured CO2 will be directly electrolysed without CO2 desorption, compression, and purification, featuring extremely high efficiency and cost-effectiveness. Expected outcomes include the delivery of suitable amines, a family of chemically and structurally controlled electrocatalysts, an in-depth understanding of CO2 electrolysis mechanisms, and the demonstration of robust electrolyser prototypes. This project will provide significant benefits to Australia’s energy and environmental security, and boost its clean energy industry and economic growth.",Swinburne University of Technology,"$454,554 ",3
Victoria,Dr Quanxiang Li,"This project aims to develop innovative catalytic activation approaches for converting textiles waste to porous activated carbon fibre with potential application in energy storage and carbon capture. The project expects to address the key issue of textile upcycling and generate new knowledge in material science by revealing the principle of alkali metal-induced pore formation and carbon dot synthesis. Expected outcomes include advanced techniques to create value-added materials from recycling textiles waste and in-depth understanding of performance improvement mechanisms. Success will provide significant benefits in securing a sustainable future for Australia, ensuring valuable resources recovery and strategies for advanced manufacturing.",Deakin University,"$454,054 ",3
Victoria,Dr Paul-Antoine Libourel,"This project aims to investigate how sleep is affected by fear/stress by studying invasive and native rat species, historically exposed to different predation pressures. It expects to generate new knowledge in biological and health sciences, also helping controlling pests. This unprecedented approach to studying sleep will provide key insights on the environmental and genetic determinants of sleep, allowing us to better understand sleep, its expression and flexibility, and response to stress. More than providing fundamental answers on the evolution of sleep, this project will provide significant benefits such as new perspectives on invasive species management, and may also reveal new targets for treatments to stress related sleep disorders.",La Trobe University,"$426,598 ",3
Victoria,Dr Keng-Te Lin,"Environmental and industrial thermal management represents major global energy consumption and CO2 emission. This project aims to investigate a game-changing passive thermal management solution to tackle both heating and cooling problems without using any electricity. This is made possible by designing a nanostructured graphene metamaterial to either totally reject or totally absorb electromagnetic waves in certain spectral ranges. Expected outcomes include new design and fabrication strategies for novel photothermal films with high performance and cost-effectiveness. This is expected to lead to the development of novel energy efficient technologies for Australian industries, producing direct economic, social and environmental benefits.",RMIT University,"$450,554 ",3
Victoria,Dr Agathe Lisé-Pronovost,"This project aims to advance Australian geochronology and Earth magnetic field research by constructing high-quality paleomagnetic records from stalagmites and lake sediments. It is expected that this project will provide a new dating capacity in Australia for academia, cultural heritage and government in a region with rich Indigenous history. This should provide significant benefits advancing our understanding of Australia’s timeline and raising appreciation of the oldest continuous living culture in the world. The ancient geomagnetic field data will also be integrated into geomagnetic field models as part of the international effort understanding Earth’s magnetic field evolution and future impact on society.",The University of Melbourne,"$451,836 ",3
Victoria,Dr Ruben Loaiza-Maya,"State space models (SSMs) are popularly used to model economic variables such as inflation and financial volatility. Variational inference is a technique that allows for fast implementation of SSMs, but whose properties are yet to be understood. This project aims to study the properties of variational inference for SSMs used in economics. This research will develop new variational inference techniques to improve inferential and predictive accuracy from SSMs. An expected implication of this project is that it will expand the ability of economic institutions to employ larger SSMs, which will allow for more accurate models for economic variables. This will provide significant social benefits by leading to better informed economic policy.",Monash University,"$345,197 ",3
Victoria,Dr Jun Lu,"This project aims to address a longstanding challenge in the development of direct ammonia fuel cells for utilization of ammonia as a green energy carrier. It proposes to develop advanced hydroxide ion conductive membranes based on novel porous framework materials to achieve high hydroxide ion conductivity and lower ammonia crossover simultaneously, thereby substantially enhancing the energy efficiency of direct ammonia fuel cells. The proposed research expects to create new knowledge in the fields of membrane science and energy. The successful development of advanced membranes will improve the efficiency of storage of intermittent and fluctuating renewable resources, thereby contributing to the reduction of carbon footprint in Australia.",Monash University,"$462,414 ",3
Victoria,Dr Alice McGovern,"Sensory nerve fibres monitor normal and abnormal stimuli in our body tissues, sending this information to the brain. I study the sensory pathways of the respiratory system which protect the lungs from harmful stimuli, such as inhaled pollutants or smoke. I discovered that respiratory sensory pathways interact with sensory circuits in the brain arising from other body tissues. The goal of this project is to investigate one example of this interaction; the convergence of visceral and somatic sensory pathways onto a brain circuit that regulates the intensity of the sensations that are experienced. This project addresses the fundamental question of how the brain processes two competing noxious sensations.",The University of Melbourne,"$453,528 ",3
Victoria,Dr Marc Mierowsky,"The history of naturalization offers significant insights into how sociocultural and legal limits on citizenship evolved, and how these limits were imposed and experienced before the advent of border restrictions. Deploying innovative methods at the intersection of literary, legal and cultural history, this project aims to provide the first global account of Jewish naturalization during the British empire’s expansion, a crucial phase in immigration history. This account will generate new knowledge about how minority communities are incorporated into the state. Its benefits include a new framework to document the lives of migrants and refugees and the development of novel cultural resources to address the social challenges of migration.",The University of Melbourne,"$369,859 ",3
Victoria,Dr Anais Möller,Explosive astrophysical events are critical to understand what the Universe is made of and its physics. This project aims to single out the most exciting exploding stars and extreme events out of the millions detected each night at the world’s largest optical telescope. It will magnify Australian leadership and optimise investment in astronomical facilities by obtaining unique information before these events fade forever. Expected outcomes include improved knowledge on the nature of exploding stars and the discovery of new events and physical processes. It will benefit the Australian community at large by training young Australians in data-intensive technologies required to lead ground-breaking research and advance our innovative economy.,Swinburne University of Technology,"$445,437 ",3
Victoria,Dr Trang Nguyen,"Linguistic discrimination is among the critical factors in migrant youth’s dissatisfaction with their lives in regional Australia. This project aims to investigate migrant youth’s experiences and management of such discrimination, and its impact on their linguistic citizenship (sense of belonging associated with language), using an interpretative research approach. Expected outcomes include new knowledge, theory development, and policy recommendations for supporting migrant youth to counteract such discrimination and empower them as more capable citizens. Expected benefits include improving migrant youth’s wellbeing and their connection with regional areas, as well as enhancing understandings of linguistic discrimination in Australia.",The University of Melbourne,"$420,000 ",3
Victoria,Dr Benjamin Noble,"This project aims to unlock the promising catalytic activity of protected gold nanoclusters by developing switchable ligands capable of undergoing controlled detachment and exchange. This project expects to provide a detailed understanding of how the gold thiolate interface of nanoclusters influences their physical and chemical properties. Expected outcomes include the design of improved catalysts for chemical synthesis and biological assays using computer aided chemical modelling. These catalysts should be easier to recover after use, which should improve cost-effectiveness. They should also improve the accuracy of biological sensors, which could ultimately be used for the rapid and early detection of diseases.",RMIT University,"$419,804 ",3
Victoria,Dr Reza Nosrati,"This project aims to reveal the fundamental physics and biology of mammalian reproduction by engineering the first comprehensive 3D culture model of the fallopian tube. The project expects to generate significant new knowledge about the exact role of the fallopian tube anatomy and physiology on the formation and function of epithelial tissue, using innovative approaches to simultaneously measure the full dynamics of epithelial cell activity and sperm motion. The expected outcome of the project is to reveal the cooperative role of sperm, egg and epithelial tissue on fertilisation. This should provide significant benefits, such as important biophysical insights into mammalian reproduction and new research tools to replace animal models.",Monash University,"$425,963 ",3
Victoria,Dr Erin O'Donnell,"This project aims to investigate how treaty and agreement making can lead to water law reform in settler colonial states. This project will use interdisciplinary approaches in Australia, Aotearoa New Zealand, Canada and the US to develop new knowledge of how Indigenous sovereignty shapes water law. Expected outcomes of this project include enhanced collaborations between researchers and Indigenous Peoples, evidence-based law and policy guidelines for ethical, pluralist water laws, and context-specific pathways for water law reform developed in partnership with Indigenous Peoples as part of Treaty-making. This should provide significant benefits, such as improving both the legitimacy and ecological sustainability of water law in Australia.",The University of Melbourne,"$452,350 ",3
Victoria,Dr BIPLOB PRAMANIK,"The aim of this project is to understand the fundamental science governing the removal of nanoplastics from wastewater by developing an innovative dually charged metal organic framework based nanocomposite ultrafiltration membrane. The project expects to lead to a breakthrough in our scientific understanding of how nanoplastics and other pollutants can be efficiently removed from wastewater using membranes. The expected outcome is a process that can be used to convert wastewater into freshwater suitable for household, industrial and agricultural use. Such removal could also be of significant environmental benefit, as secondary effluent is a significant source of nanoplastics entering the aquatic environment.",RMIT University,"$438,154 ",3
